epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7214,0.99569,2.18695,1.27371,0.79014,0.84098,0.88229,0.70646,0.82341,1.31802,1.30437,0.000199149,0.000199149,0.0802843
2,125.397,1.00924,1.12205,1.29407,0.67571,0.61095,0.73078,0.55541,0.95413,2.06968,1.45706,0.000399125,0.000399125,0.0604842
3,178.746,1.02847,1.12543,1.30318,0.77436,0.81239,0.89488,0.72677,0.75049,0.95601,1.2615,0.000599003,0.000599003,0.0406841
4,228.84,1.01343,1.01347,1.28898,0.73975,0.71535,0.7894,0.63327,0.82644,1.11657,1.32457,0.00079871,0.00079871,0.0208838
5,278.522,0.97344,0.96661,1.2577,0.81668,0.76576,0.85339,0.67085,0.88038,1.11474,1.36818,0.000998173,0.000998173,0.00108328
6,326.964,0.9527,0.88381,1.25189,0.87582,0.88891,0.9411,0.77915,0.73651,0.47494,1.20831,0.000998474,0.000998474,0.000998474
7,377.557,0.93164,0.84225,1.22118,0.87916,0.92967,0.95637,0.81427,0.65619,0.44452,1.13639,0.000997803,0.000997803,0.000997803
8,426.805,0.91265,0.75878,1.2249,0.94535,0.91951,0.97031,0.82366,0.65111,0.47262,1.12013,0.000997011,0.000997011,0.000997011
9,476.167,0.90514,0.72097,1.20244,0.92471,0.92386,0.97131,0.81284,0.69561,0.41828,1.15131,0.000996097,0.000996097,0.000996097
10,524.7,0.90012,0.67555,1.19508,0.93074,0.93076,0.96653,0.77132,0.81057,0.37502,1.26104,0.000995062,0.000995062,0.000995062
11,573.202,0.86404,0.65593,1.17853,0.95471,0.93846,0.97984,0.815,0.69907,0.32457,1.15442,0.000993906,0.000993906,0.000993906
12,621.714,0.84178,0.61404,1.16478,0.93505,0.9403,0.98341,0.83121,0.63398,0.30255,1.10217,0.000992629,0.000992629,0.000992629
13,670.109,0.82637,0.62517,1.15446,0.94734,0.94058,0.97858,0.84425,0.57573,0.27786,1.06025,0.000991232,0.000991232,0.000991232
14,719.985,0.80051,0.60003,1.1429,0.94797,0.94963,0.97455,0.85904,0.51701,0.26099,1.00161,0.000989715,0.000989715,0.000989715
15,769.027,0.79744,0.58345,1.13329,0.942,0.95173,0.97759,0.87357,0.50526,0.26783,1.00448,0.000988079,0.000988079,0.000988079
16,817.337,0.77224,0.57362,1.1245,0.94003,0.9615,0.98015,0.86907,0.51755,0.26701,0.99877,0.000986323,0.000986323,0.000986323
17,866.07,0.79383,0.56705,1.13163,0.95262,0.96149,0.98159,0.87802,0.48495,0.244,0.97961,0.000984449,0.000984449,0.000984449
18,914.766,0.77398,0.54128,1.10653,0.95154,0.96458,0.97952,0.88804,0.45482,0.2211,0.95923,0.000982456,0.000982456,0.000982456
19,964.027,0.77442,0.54971,1.12249,0.94857,0.97395,0.98085,0.89604,0.44483,0.20078,0.9612,0.000980345,0.000980345,0.000980345
20,1012.89,0.76037,0.53558,1.11427,0.95891,0.96705,0.98679,0.87413,0.5148,0.22581,1.00672,0.000978118,0.000978118,0.000978118
21,1063.39,0.75296,0.51267,1.11348,0.96047,0.97041,0.98614,0.87129,0.52635,0.23154,1.00872,0.000975773,0.000975773,0.000975773
22,1114.03,0.73874,0.5002,1.10353,0.95603,0.96725,0.98095,0.89341,0.43971,0.21302,0.95691,0.000973312,0.000973312,0.000973312
23,1163.95,0.74087,0.52255,1.09616,0.94497,0.93802,0.9756,0.89269,0.43527,0.29083,0.95752,0.000970736,0.000970736,0.000970736
24,1213.72,0.7302,0.49019,1.08628,0.96142,0.97074,0.98152,0.87027,0.51244,0.22556,0.99526,0.000968045,0.000968045,0.000968045
25,1263.78,0.72118,0.48394,1.09566,0.96567,0.966,0.98246,0.88378,0.47772,0.20631,0.97509,0.000965239,0.000965239,0.000965239
26,1312.46,0.72295,0.48697,1.08648,0.9653,0.95712,0.98673,0.90616,0.41411,0.21121,0.94255,0.00096232,0.00096232,0.00096232
27,1362.05,0.7199,0.46562,1.07897,0.96489,0.97268,0.98482,0.89887,0.43792,0.20396,0.96095,0.000959289,0.000959289,0.000959289
28,1410.22,0.72172,0.46864,1.08013,0.95714,0.97867,0.98479,0.90366,0.42436,0.18975,0.9395,0.000956145,0.000956145,0.000956145
29,1460.92,0.71127,0.45495,1.08339,0.96989,0.98706,0.98507,0.89397,0.43834,0.17628,0.9449,0.000952889,0.000952889,0.000952889
30,1511.38,0.70383,0.43849,1.07524,0.95954,0.98064,0.97953,0.90275,0.4047,0.17878,0.93007,0.000949524,0.000949524,0.000949524
31,1562.87,0.70191,0.43934,1.07089,0.97782,0.97109,0.98718,0.90958,0.41681,0.16799,0.94225,0.000946048,0.000946048,0.000946048
32,1613.98,0.69803,0.43498,1.07989,0.96695,0.97208,0.98536,0.89605,0.44376,0.18454,0.95753,0.000942464,0.000942464,0.000942464
33,1662.02,0.69272,0.42426,1.06701,0.96567,0.97338,0.9864,0.89761,0.45159,0.18782,0.95593,0.000938772,0.000938772,0.000938772
34,1711.48,0.6772,0.43071,1.06767,0.97184,0.96096,0.98447,0.89397,0.44441,0.19626,0.95162,0.000934973,0.000934973,0.000934973
35,1760.69,0.6934,0.4327,1.0683,0.96179,0.97477,0.98427,0.89911,0.43074,0.19637,0.94248,0.000931067,0.000931067,0.000931067
36,1813.07,0.69284,0.44056,1.07,0.96064,0.96643,0.98437,0.90158,0.4344,0.20044,0.94145,0.000927057,0.000927057,0.000927057
37,1863.03,0.66952,0.41462,1.05877,0.96246,0.97132,0.98405,0.90062,0.43007,0.1859,0.93903,0.000922942,0.000922942,0.000922942
38,1914.8,0.6689,0.41391,1.05373,0.95477,0.97064,0.98444,0.91317,0.39816,0.18968,0.92511,0.000918725,0.000918725,0.000918725
39,1965.53,0.67636,0.42098,1.05952,0.97153,0.97623,0.98679,0.90819,0.41552,0.1793,0.937,0.000914405,0.000914405,0.000914405
40,2013.68,0.65417,0.41132,1.05568,0.962,0.97924,0.98628,0.91625,0.39828,0.17291,0.92088,0.000909984,0.000909984,0.000909984
41,2063.69,0.65404,0.38758,1.04501,0.961,0.98423,0.98694,0.90662,0.41189,0.1782,0.92982,0.000905463,0.000905463,0.000905463
