,precision,recall,f1-score,support
T-shirt/top,0.831207065750736,0.847,0.8390292223873205,1000.0
Trouser,0.9938837920489296,0.975,0.9843513377082281,1000.0
Pullover,0.8427991886409736,0.831,0.8368580060422961,1000.0
Dress,0.8508137432188065,0.941,0.8936372269705603,1000.0
Coat,0.824284304047384,0.835,0.8296075509190264,1000.0
Sandal,0.9761194029850746,0.981,0.9785536159600997,1000.0
Shirt,0.7402452619843924,0.664,0.7000527148128625,1000.0
Sneaker,0.9442270058708415,0.965,0.9545004945598418,1000.0
Bag,0.9838709677419355,0.976,0.9799196787148594,1000.0
Ankle boot,0.975485188968335,0.955,0.965133906013138,1000.0
accuracy,0.897,0.897,0.897,0.897
macro avg,0.896293592125741,0.897,0.8961643754088232,10000.0
weighted avg,0.8962935921257409,0.897,0.8961643754088232,10000.0
