,precision,recall,f1-score,support
T-shirt/top,0.8511837655016911,0.755,0.8002119766825649,1000.0
Trouser,0.9896694214876033,0.958,0.9735772357723578,1000.0
Pullover,0.7658536585365854,0.785,0.7753086419753087,1000.0
Dress,0.7764705882352941,0.924,0.8438356164383561,1000.0
Coat,0.7748478701825557,0.764,0.7693856998992951,1000.0
Sandal,0.9772256728778468,0.944,0.960325534079349,1000.0
Shirt,0.6811902231668437,0.641,0.6604842864502833,1000.0
Sneaker,0.9248780487804878,0.948,0.9362962962962963,1000.0
Bag,0.9719438877755511,0.97,0.970970970970971,1000.0
Ankle boot,0.9408284023668639,0.954,0.9473684210526315,1000.0
accuracy,0.8643,0.8643,0.8643,0.8643
macro avg,0.8654091538911324,0.8642999999999998,0.8637764679617413,10000.0
weighted avg,0.8654091538911324,0.8643,0.8637764679617413,10000.0
